ID_,Title,Subtitle,Version,Genre,Genre2,BPM,Composer,Writer,Arranger,Artist,Singer,PlayTime,Tag,VersionTag,OwnBG,MVFee,License,Status,Remark,DiscLevel_EZ_NM_HD_MX_SC,UserLevel_EZ_NM_HD_MX_SC,DiscLevel_EZ_NM_HD_MX_SC,UserLevel_EZ_NM_HD_MX_SC,PlayFeeSingle,PlayFeeMultiple,Premium,RefSpeed_5K,RefSpeed_7K
24,Cosmic_Elevator,_,Original,Ani_Pop,hd,164,Forte_Escape,none,Forte_Escape,none,none,147,CosmicElevator,ORG,own,0,Pentavision,onair,_,2_6_11_99_99,1_6_11_99_99,2_7_10_99_99,1_7_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
25,Csikos_Post,_,Original,Classic,cs,160,Necke,none,WideMusic,Eyehead,none,98,Caikospost,ORG,own,0,Pentavision,onair,_,3_5_10_99_99,1_5_10_99_99,3_6_10_99_99,1_6_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
26,Damascus,_,Original,70＇s_Funky_Jazz,fj,118,makou,none,makou,none,none,139,Damascus,ORG,none,0,Pentavision,onair,_,2_7_9_99_99,1_7_9_99_99,2_7_9_99_99,1_7_9_99_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
27,Dancin＇_Planet,_,Original,Hybrid_core,rh,132,Planetboom,none,Planetboom,none,none,130,dplanet,ORG,none,0,Pentavision,onair,_,2_7_10_11_99,1_7_10_13_99,2_7_10_12_99,1_7_10_13_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
28,Detonator,_,Original,Warp_Breaks,te,160,EarBreaker,none,EarBreaker,ECO,none,132,Detonator,ORG,own,0,Pentavision,onair,_,3_7_10_12_99,1_7_10_15_99,3_8_11_12_99,1_8_11_15_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
29,Dreadnought,_,Original,Big_Beat,te,140,EarBreaker,none,EarBreaker,ECO,none,140,Dreadnought,ORG,own,0,Pentavision,onair,_,2_6_10_99_99,1_6_10_99_99,3_7_10_99_99,1_7_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
30,Dream_Of_You,_,Original,Sweet_Jazz,fj,192,makou,none,makou,Eyehead,none,133,Dreamofyou,ORG,own,0,Pentavision,onair,_,4_6_11_99_99,1_6_11_99_99,5_7_12_99_99,1_7_12_99_99,0_0_0_50_50,0_0_0_50_50,0,2.5_2.5_2.5_2.5_2.5,3_3_3_3_3
31,Elastic_Star,_,Original,Acid_House,hd,132,Forte_Escape,JC,Forte_Escape,Eyehead,So_Fly,112,ElasticSTAR,ORG,own,0,Pentavision,onair,_,1_3_6_9_99,1_3_6_9_99,3_5_9_9_99,1_5_9_9_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
32,Elastic_Star,_,UK_GarageMIx,UK_Garage,hd,132,Forte_Escape,JC,ESTi,Eyehead,So_Fly,113,ElasticSTAR,rm1,own,0,Pentavision,onair,_,2_6_8_99_99,1_6_8_99_99,3_6_9_99_99,1_6_9_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
33,Electro_Sensibility,_,Original,Electro,te,132,Forte_Escape,none,Forte_Escape,ECO,none,121,Electrosens,ORG,own,0,Pentavision,onair,_,2_8_11_12_99,1_8_11_12_99,3_8_11_13_99,1_8_11_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
34,End_of_the_Moonlight,_,Original,Techno_Pop,te,155,Forte_Escape,Forte_Escape,Forte_Escape,US,Miya,113,EndOfMoon,ORG,own,0,Pentavision,onair,_,2_4_7_12_13,1_4_7_31_11,4_7_9_12_13,1_7_9_31_11,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
35,Enemy_storm,_,Original,Hard_Core,rh,133,Croove,none,Croove,none,none,120,Enemystorm,ORG,own,0,Pentavision,onair,_,1_6_9_12_13,1_6_9_30_3,6_11_99_12_13,1_11_99_30_3,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
36,Eternal_Memory_(少女的梦),_,Original,Fantasy_Pop,hd,125,M2U,M2U,M2U,NG,Sanch,135,Boy,ORG,own,0,Pentavision,onair,_,2_6_8_99_99,1_6_8_99_99,2_6_8_99_99,1_6_8_99_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
37,Extreme_Z4,_,Original,Break_Beat,te,152,Forte_Escape,none,Forte_Escape,Kinys,none,101,Extreme,ORG,own,0,Pentavision,onair,_,1_3_7_11_99,1_1_7_20_99,3_6_10_12_99,1_6_10_20_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
38,FallenAngel,_,Original,Modern_Rock,pp,142,DJ_Mocha,DJ_Mocha,DJ_Mocha,Tari&Eter,Yujin,120,Fangel,ORG,own,0,Pentavision,onair,_,2_6_10_99_99,1_6_10_99_99,2_5_9_99_99,1_5_9_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
39,Fear,_,Original,DnB,te,182,酱欺部付,none,酱欺部付,Tina,none,122,Fear,ORG,own,0,Pentavision,onair,_,3_5_10_11_99,1_5_10_31_99,3_6_10_10_99,1_6_10_31_99,0_0_0_50_50,0_0_0_50_50,0,2.5_2.5_2.5_2.5_2.5,3_3_3_3_3
40,Feel,_,Original,AcidPop,pp,124,DJ_Mocha,DJ_Mocha,DJ_Mocha,NB5,Yujin,130,Feel,ORG,own,0,Pentavision,onair,_,1_5_10_99_99,1_5_10_99_99,1_5_11_99_99,1_5_11_99_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
41,Fentanest,_,Original,Spiral_Sequence,te,160,EarBreaker&eszett,none,EarBreaker&eszett,Tari&Eter,none,121,Fentanest,ORG,own,0,Pentavision,onair,_,3_6_11_99_99,1_6_11_99_99,2_7_11_99_99,1_7_11_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
42,Fever_GJ,_,Original,nu_HnS,hr,98,xxdbxx,xxdbxx,xxdbxx,Eyehead,Silver_Water,128,FeverGJ,ORG,own,0,Pentavision,onair,_,1_3_6_99_99,1_3_6_99_99,99_5_10_99_99,99_1_10_99_99,0_0_0_50_50,0_0_0_50_50,0,5_5_5_5_5,5.5_5.5_5.5_5.5_5.5
43,For_Seasons,_,Original,Easy_listening,fj,116,makou,none,makou,Tari&Eter,none,132,Fseasons,ORG,own,0,Pentavision,onair,_,4_7_10_99_99,1_7_10_99_99,4_8_10_99_99,1_8_10_99_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
44,For_the_ikarus,_,Original,Ani_Pop,te,154,NieN,NieN,NieN,BAILKNIGHT,NieN,133,Ikarus,ORG,own,0,Pentavision,onair,_,4_8_10_99_99,1_8_10_99_99,5_9_11_99_99,1_9_11_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
45,FTR,_,Original,Electric_House,hd,140,酱欺部付,none,酱欺部付,Tari&Eter,none,146,FTR,ORG,own,0,Pentavision,onair,_,4_7_11_12_99,1_7_11_32_99,4_8_11_12_99,1_8_11_32_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
46,Funky_Chups,_,Original,Funky_Electro,fj,127,Forte_Escape,none,Forte_Escape,Eyehead,none,94,FunkyChups,ORG,own,0,Pentavision,onair,_,2_3_5_8_99,1_3_1_3_99,2_4_7_9_99,1_1_1_3_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
47,Futurism,_,Original,Electro_Fusion,te,142,Forte_Escape,none,Forte_Escape,NG,none,117,FUTURERISM,ORG,own,0,Pentavision,onair,_,2_5_10_11_99,1_5_10_30_99,3_6_10_11_99,1_6_10_30_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
48,Get_On_Top,_,Original,P-funk,fj,125,Planetboom,none,Planetboom,Eyehead,none,134,Getontop,ORG,own,0,Pentavision,onair,_,3_5_9_99_99,1_5_9_99_99,4_6_10_99_99,1_6_10_99_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
49,Getup,_,Original,2Step,hd,135,Croove,JC,Croove&Forte_Escape,Catty,So_Fly&JC,134,Getup,ORG,own,0,Pentavision,onair,_,2_6_10_99_99,1_6_10_99_99,2_8_11_99_99,1_8_11_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
50,Grid_System,_,Original,Trance,te,146,Tsukasa,none,Tsukasa,Kimys&ECO,none,141,Gridsystem,ORG,own,0,Pentavision,onair,_,3_8_12_99_99,1_8_12_99_99,4_8_12_99_99,1_8_12_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
51,Hello_christmas,_,Original,FUSION_JAZZ,fj,143,East_Wind,none,East_Wind,none,none,117,Hellowchristmas,ORG,none,0,Pentavision,onair,_,1_4_7_99_99,1_4_7_99_99,1_4_7_99_99,1_4_7_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
52,Hello_Pinky,_,Original,HiFi_POP,rh,141,NieN,NieN,NieN,Tari&Eter,Pink_AnnA,133,Pinky,ORG,own,0,Pentavision,onair,_,3_6_10_99_99,1_6_10_99_99,3_7_11_99_99,1_7_11_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
53,Hey!_there,_,Original,Acoustro_Funk,fj,127,Forte_Escape,none,Forte_Escape,Hye-ra,none,116,Hey,ORG,own,0,Pentavision,onair,_,4_6_11_99_99,1_6_11_99_99,3_7_12_99_99,1_7_12_99_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
54,Hypersonic,_,Original,Funky_Techno,te,134,xxdbxx,none,xxdbxx,BS,none,122,Hypersonic,ORG,own,0,Pentavision,onair,_,3_7_10_99_99,1_7_10_99_99,3_7_10_99_99,1_7_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
55,JBG,_,Original,Yellow_Hiphop,hr,102,Croove,JC,Croove,Eyehead,JC,129,JBG,ORG,own,0,Pentavision,onair,_,3_6_11_13_14,1_6_11_3_3,3_8_11_12_14,1_8_11_3_3,0_0_0_50_50,0_0_0_50_50,0,4.5_4.5_4.5_4.5_4.5,5_5_5_5_5
56,Jupiter_Driving,_,Original,Techno_Stock,te,144,xxdbxx,none,xxdbxx,Eyehead,none,122,Jupiter,ORG,own,0,Pentavision,onair,_,2_4_8_12_16,1_4_8_20_30,4_7_10_13_17,1_7_10_20_30,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
57,Knowledge_system,_,Original,Techno,te,140,Forte_Escape,none,Forte_Escape,NG,none,129,KSYSTEM,ORG,own,0,Pentavision,onair,_,3_8_11_12_99,1_8_11_30_99,3_8_12_12_99,1_8_12_30_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
58,KUDA,_,Original,Techno_Core,rh,126,GonZo,none,GonZo,NG,none,107,KUDA,ORG,own,0,Pentavision,onair,_,2_7_11_13_99,1_7_11_20_99,2_7_11_12_99,1_7_11_20_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
59,Lemonade,_,Original,Lounge_DnB,hd,195,M2U,M2U,M2U,Tari&Eter,Tari,137,Lemonade,ORG,own,0,Pentavision,onair,_,3_8_12_99_99,1_8_12_99_99,4_8_12_99_99,1_8_12_99_99,0_0_0_50_50,0_0_0_50_50,0,2.5_2.5_2.5_2.5_2.5,3_3_3_3_3
60,Let_Go,_,Original,Hip_hop,fj,102,xxdbxx,EM,xxdbxx,Panax,EM,125,Letgo,ORG,own,0,Pentavision,onair,_,2_5_9_99_11,1_5_9_99_11,3_6_10_99_12,1_6_10_99_12,0_0_0_50_50,0_0_0_50_50,0,4.5_4.5_4.5_4.5_4.5,5_5_5_5_5
61,Let`s_Go_Baby,_,Original,Hip_Hop,hr,108,3rd_Coast,JC,3rd_Coast,Miyu,JC,129,LetsGoBaby,ORG,own,0,Pentavision,onair,_,1_6_9_10_99,1_6_9_7_99,1_6_9_10_99,1_6_9_7_99,0_0_0_50_50,0_0_0_50_50,0,4.5_4.5_4.5_4.5_4.5,5_5_5_5_5
62,Light_House,_,Original,Happy_Core,te,162,xxdbxx,none,xxdbxx,ECO,none,119,Lighthouse,ORG,own,0,Pentavision,onair,_,3_7_11_13_99,1_7_11_22_99,6_9_12_12_99,1_9_12_22_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
63,Living_on_The_Beat,_,Original,Teggae,te,147,Forte_Escape,none,Forte_Escape,none,none,136,Livingon,ORG,none,0,Pentavision,onair,_,3_5_9_99_99,1_5_9_99_99,3_5_9_99_99,1_5_9_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
64,Long_Vacation,_,Original,School_House,hd,138,ESTi,none,ESTi,Tari,none,128,LongVacation,ORG,own,0,Pentavision,onair,_,1_4_6_99_99,1_4_6_99_99,4_6_9_99_99,1_6_9_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
65,Luv_Flow,_,Original,R&B_Medium,hr,115,3rd_Coast,JC,3rd_Coast,Ayamy,So_Fly,132,Luvflow,ORG,own,0,Pentavision,onair,_,1_3_7_12_99,1_1_7_31_99,2_6_11_12_99,1_6_11_31_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
66,MASAI,_,Original,New_Wave,hd,128,Croove,JC,Croove,ECO,So_Fly,126,Masai,ORG,own,0,Pentavision,onair,_,2_7_10_11_99,1_7_10_18_99,6_8_11_11_99,1_8_11_18_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
67,Memory_of_Beach,_,Original,Dance_Pop,hd,130,M2U,M2U,M2U,AP,Sanch,133,Memoryofbeach,ORG,own,0,Pentavision,onair,_,2_7_11_99_12,1_7_11_99_3,2_7_11_99_13,1_7_11_99_3,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
68,Mess_it_Up,_,Original,Electro_Big_Band,fj,140,Nauts_(N-Square),none,Nauts_(N-Square),Tari&Eter,none,130,Messitup,ORG,own,0,Pentavision,onair,_,4_6_11_99_14,1_6_11_99_14,5_8_12_99_15,1_8_12_99_15,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
69,MidNight_Blood,_,Original,Oriental_Trance,te,147,NieN,NieN,NieN,Tako_Ashin,NieN,141,Mblood,ORG,own,0,Pentavision,onair,_,3_7_12_99_99,1_7_12_99_99,4_8_12_99_99,1_8_12_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
70,miles,_,Original,Electro_Fusion,fj,130,Electronic_Boutique,none,Electronic_Boutique,NONE,none,129,miles,ORG,own,0,Pentavision,onair,_,2_7_11_99_15,1_7_11_99_19,2_7_11_99_17,1_7_11_99_19,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
71,Minimal_Life,_,Original,Techno,te,145,EarBreaker,none,EarBreaker,ECO,none,150,Minimallife,ORG,own,0,Pentavision,onair,_,3_6_11_13_99,1_6_11_20_99,3_7_11_13_99,1_7_11_20_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
72,Mojo_song,_,Original,Pop,fj,135,Wasabi_iceCream,Wasabi_iceCream,Wasabi_iceCream,none,Wasabi_iceCream,120,Mojosong,ORG,none,0,Pentavision,onair,_,2_5_9_99_99,2_5_9_99_99,3_6_10_99_99,1_6_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
73,My_Alias,_,Original,EMOCORE,fj,110,Dayz,Dayz,Dayz,Panax,JW,131,Myalias,ORG,own,0,Pentavision,onair,_,3_4_10_99_99,1_4_10_99_99,4_5_11_99_99,1_5_11_99_99,0_0_0_50_50,0_0_0_50_50,0,4.5_4.5_4.5_4.5_4.5,5_5_5_5_5
74,NB_POWER,_,Original,Ani_Rock,rh,185,NieN,NieN,NieN,ECO,shinar,126,nbvsnb,ORG,own,0,Pentavision,onair,_,99_7_12_99_99,99_7_12_99_99,99_8_13_99_99,99_8_13_99_99,0_0_0_50_50,0_0_0_50_50,0,2.5_2.5_2.5_2.5_2.5,3_3_3_3_3
75,NB_Ranger,_,Original,Scream_Funk,rh,140,M2U,none,M2U,Ponglow&ECO&Tari&NG,none,119,Nbranger,ORG,own,0,Pentavision,onair,_,2_8_11_12_99,1_8_11_12_99,4_8_12_14_99,1_8_12_12_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
76,Never_Say,_,Original,Jungle_Pop,hd,90,ND_Lee,Bean,ND_Lee,Eyehead,Yoa,122,NeverSay,ORG,own,0,Pentavision,onair,_,1_5_7_12_11,1_5_7_22_3,3_6_8_13_12,1_6_1_22_3,0_0_0_50_50,0_0_0_50_50,0,5_5_5_5_5,5.5_5.5_5.5_5.5_5.5
77,Oblivion,_,Original,Dramatic_Trance,te,141,ESTi,none,ESTi,D-myo,none,123,OBLIVION,ORG,own,0,Pentavision,onair,_,2_6_10_11_12,1_6_10_14_3,3_7_10_13_15,1_7_10_14_3,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
78,ON,_,Original,2step_slow,hr,72,ND_Lee,Bean,ND_Lee,RB,ND_Lee,131,ON,ORG,own,0,Pentavision,onair,_,2_4_7_99_99,1_4_7_99_99,4_6_9_99_99,1_6_9_99_99,0_0_0_50_50,0_0_0_50_50,0,5_5_5_5_5,5.5_5.5_5.5_5.5_5.5
79,One_Sided_Love,_,Original,Love_Pop,pp,90,Electronic_Boutique,none,Electronic_Boutique,Kaho,none,131,OneSidedLove,ORG,own,0,Pentavision,onair,_,2_5_10_99_99,1_5_10_99_99,2_6_10_99_99,1_6_10_99_99,0_0_0_50_50,0_0_0_50_50,0,5_5_5_5_5,5.5_5.5_5.5_5.5_5.5
